                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4097,                 2.3584,                 1.7222,                0.57642,                0.65897,                0.68361,                0.53832,                0.78001,                 1.6034,                 1.3014,                0.07004,              0.0033289,              0.0033289
                      1,                0.87398,                 1.0216,                 1.2833,                0.88843,                0.88376,                0.95645,                0.79783,                0.61695,                0.65433,                 1.1369,               0.039818,              0.0064402,              0.0064402
                      2,                0.79662,                0.77709,                 1.2225,                  0.893,                0.90228,                0.96414,                0.80348,                0.61463,                 0.6076,                  1.135,              0.0093737,              0.0093293,              0.0093293
                      3,                0.75506,                0.66574,                 1.1938,                0.96473,                0.95712,                0.98792,                0.84319,                0.55066,                0.41353,                 1.0862,              0.0090001,              0.0090001,              0.0090001
                      4,                 0.7232,                0.58684,                 1.1693,                0.98114,                0.97705,                0.99163,                0.85389,                0.53473,                0.34661,                 1.0704,              0.0090001,              0.0090001,              0.0090001
                      5,                0.70102,                0.54121,                  1.154,                0.98448,                0.98257,                0.99311,                 0.8618,                0.52185,                0.31596,                 1.0607,              0.0086668,              0.0086668,              0.0086668
                      6,                0.68471,                 0.5046,                 1.1401,                0.98617,                0.98452,                0.99306,                0.86337,                0.51467,                0.29779,                  1.052,              0.0083335,              0.0083335,              0.0083335
                      7,                0.67118,                0.47532,                 1.1309,                0.98556,                0.98364,                 0.9931,                0.86327,                0.51366,                0.29109,                  1.046,              0.0080002,              0.0080002,              0.0080002
                      8,                0.66033,                0.45384,                 1.1215,                0.99024,                  0.989,                0.99376,                0.87147,                0.50113,                0.26422,                 1.0361,              0.0076669,              0.0076669,              0.0076669
                      9,                0.65149,                0.43813,                 1.1165,                0.99192,                0.99053,                0.99412,                0.87423,                0.49536,                0.25397,                 1.0342,              0.0073336,              0.0073336,              0.0073336
                     10,                0.64395,                0.42126,                  1.108,                  0.994,                0.99164,                0.99415,                0.87775,                0.49072,                0.24102,                 1.0306,              0.0070003,              0.0070003,              0.0070003
                     11,                0.63883,                 0.4109,                 1.1046,                 0.9942,                0.99239,                0.99428,                0.87913,                0.48872,                0.23448,                 1.0263,               0.006667,               0.006667,               0.006667
                     12,                0.63254,                0.39865,                 1.1005,                0.99453,                0.99339,                 0.9944,                 0.8813,                0.48428,                0.22758,                 1.0243,              0.0063337,              0.0063337,              0.0063337
                     13,                0.62658,                0.38747,                 1.0978,                0.99534,                0.99348,                0.99444,                0.88266,                0.48356,                0.22398,                 1.0244,              0.0060004,              0.0060004,              0.0060004
                     14,                0.62268,                0.37885,                 1.0915,                0.99522,                0.99385,                0.99446,                0.88456,                0.48077,                0.21847,                 1.0192,              0.0056671,              0.0056671,              0.0056671
                     15,                0.61578,                0.36904,                 1.0874,                0.99599,                0.99455,                0.99458,                0.88629,                0.47864,                0.21386,                 1.0238,              0.0053338,              0.0053338,              0.0053338
                     16,                0.61122,                0.36079,                 1.0837,                0.99582,                0.99508,                0.99458,                0.88815,                0.47639,                0.21075,                 1.0144,              0.0050005,              0.0050005,              0.0050005
                     17,                0.60635,                0.35267,                 1.0799,                0.99636,                0.99515,                0.99461,                0.88976,                0.47569,                 0.2066,                 1.0174,              0.0046672,              0.0046672,              0.0046672
                     18,                 0.6058,                0.34795,                 1.0778,                0.99662,                0.99541,                0.99465,                 0.8912,                0.47397,                0.20364,                 1.0107,              0.0043339,              0.0043339,              0.0043339
                     19,                0.59973,                0.34007,                 1.0722,                 0.9968,                 0.9954,                0.99467,                0.89245,                0.47225,                0.20132,                 1.0154,              0.0040006,              0.0040006,              0.0040006
                     20,                0.52769,                0.26306,                  1.051,                0.99695,                0.99548,                0.99467,                0.89249,                0.47198,                0.19952,                 1.0017,              0.0036673,              0.0036673,              0.0036673
                     21,                 0.5226,                0.25454,                 1.0443,                0.99678,                0.99593,                0.99469,                0.89383,                0.47111,                0.19728,                 1.0019,               0.003334,               0.003334,               0.003334
                     22,                0.51833,                0.24773,                 1.0463,                 0.9968,                0.99583,                0.99474,                0.89548,                 0.4694,                 0.1939,                 1.0054,              0.0030007,              0.0030007,              0.0030007
                     23,                0.51486,                0.24059,                 1.0402,                0.99692,                0.99645,                0.99476,                0.89594,                0.46857,                0.19203,                 1.0029,              0.0026674,              0.0026674,              0.0026674
                     24,                0.51156,                0.23646,                 1.0423,                0.99679,                0.99635,                0.99474,                 0.8972,                0.46764,                 0.1904,                 1.0061,              0.0023341,              0.0023341,              0.0023341
                     25,                0.50869,                0.23103,                 1.0385,                0.99705,                0.99656,                0.99469,                0.89817,                0.46695,                0.18913,                 1.0077,              0.0020008,              0.0020008,              0.0020008
                     26,                0.50505,                0.22619,                 1.0341,                 0.9972,                0.99645,                0.99474,                0.89914,                0.46605,                0.18745,                 1.0019,              0.0016675,              0.0016675,              0.0016675
                     27,                 0.5023,                0.22195,                 1.0306,                0.99707,                0.99665,                0.99475,                0.89954,                0.46564,                0.18645,                 0.9978,              0.0013342,              0.0013342,              0.0013342
                     28,                0.49923,                0.21791,                 1.0259,                0.99703,                0.99678,                0.99475,                0.90013,                0.46498,                 0.1856,                0.99364,              0.0010009,              0.0010009,              0.0010009
                     29,                0.49616,                0.21372,                 1.0258,                 0.9972,                0.99674,                0.99476,                0.90086,                 0.4645,                0.18431,                0.99522,              0.0006676,              0.0006676,              0.0006676
